nombre, categoria, complejidad, popularidad
Cien Años de Soledad, Ficción Mágica, 5, 4
1984, Distopía, 4, 5
Don Quijote de la Mancha, Clásico, 5, 5
El Principito, Fábula Filosófica, 2, 5
Los Juegos del Hambre, Ciencia Ficción Juvenil, 3, 5
Orgullo y Prejuicio, Romance Clásico, 4, 5
La Sombra del Viento, Misterio, 4, 4
Crónica de una Muerte Anunciada, Realismo Mágico, 3, 4
Fahrenheit 451, Distopía, 4, 4
It, Terror, 4, 5
Harry Potter y la Piedra Filosofal, Fantasía Juvenil, 3, 5
El Código Da Vinci, Thriller, 3, 5
Rayuela, Vanguardia, 5, 4
El Señor de los Anillos: La Comunidad del Anillo, Fantasía Épica, 5, 5
La Casa de los Espíritus, Realismo Mágico, 4, 4
El Hobbit, Fantasía, 3, 5
Los Pilares de la Tierra, Novela Histórica, 4, 4
Matar a un Ruiseñor, Drama Social, 4, 5
El Nombre del Viento, Fantasía Épica, 4, 5
Ensayo sobre la Ceguera, Ficción Filosófica, 5, 4
Las Aventuras de Sherlock Holmes, Misterio, 3, 5
La Metamorfosis, Ficción Existencial, 4, 4
El Amor en los Tiempos del Cólera, Romance, 4, 4
Los Miserables, Drama Histórico, 5, 5
La Odisea, Épica Clásica, 5, 4
El Retrato de Dorian Gray, Ficción Gótica, 4, 4
Asesinato en el Orient Express, Policial, 3, 5
Pedro Páramo, Realismo Mágico, 5, 4
La Ladrona de Libros, Drama Histórico, 3, 5
Rebelión en la Granja, Sátira Política, 3, 5
La Chica del Tren, Thriller Psicológico, 3, 4
El Alquimista, Ficción Espiritual, 3, 5
Los Detectives Salvajes, Narrativa Contemporánea, 5, 4
Corazón de las Tinieblas, Aventura, 4, 4
Bajo la Misma Estrella, Romance Juvenil, 2, 5
El Silmarillion, Fantasía Épica, 5, 4
Drácula, Terror Clásico, 4, 5
Cumbres Borrascosas, Romance Gótico, 4, 4
El Niño con el Pijama de Rayas, Drama Bélico, 2, 5
La Naranja Mecánica, Distopía, 5, 4
El Guardián entre el Centeno, Ficción Contemporánea, 3, 5
La Iliada, Épica Clásica, 5, 4
Los Hombres que no Amaban a las Mujeres, Thriller, 4, 5
Siddhartha, Ficción Filosófica, 3, 5
El Viejo y el Mar, Clásico, 3, 4
La Ciudad y los Perros, Realismo Social, 4, 4
Tokio Blues, Drama Contemporáneo, 4, 5
Crimen y Castigo, Novela Psicológica, 5, 5
La Tregua, Romance Triste, 3, 4
El Psicoanalista, Thriller Psicológico, 4, 5
El Perfume, Ficción Histórica, 4, 4
La Carretera, Distopía, 4, 4
El Médico, Novela Histórica, 4, 5
Alicia en el País de las Maravillas, Fantasía Clásica, 2, 5
La Biblioteca de la Medianoche, Ficción Contemporánea, 3, 5
Los Asesinatos de la Calle Morgue, Misterio, 4, 4
Moby Dick, Aventura Clásica, 5, 4
Cazadores de Sombras: Ciudad de Hueso, Fantasía Juvenil, 3, 5
El Niño Perdido, Drama Familiar, 3, 4
Una Habitación Propia, Ensayo Feminista, 4, 4
La Sombra del Patriarca, Ficción Política, 4, 4
El Tiempo Entre Costuras, Novela Histórica, 4, 5
Ready Player One, Ciencia Ficción, 3, 5
El Instituto, Terror, 4, 4
La Chica Invisible, Misterio Juvenil, 3, 5
Los Secretos que Jamás Contamos, Drama Familiar, 3, 4
El Hombre Invisible, Ciencia Ficción, 4, 4
El Cuaderno de Noah, Romance, 3, 5
La Rebelión de Atlas, Ficción Filosófica, 5, 4
La Sombra del Viento del Norte, Fantasía Urbana, 3, 4
El Marciano, Ciencia Ficción, 4, 5
El Ruido de las Cosas al Caer, Realismo Contemporáneo, 4, 4
La Canción de Aquiles, Mitología, 3, 5
El Cuento de la Criada, Distopía, 4, 5
Los Testamentos, Distopía, 4, 4
Pachinko, Saga Familiar, 4, 4
La Vida Invisible de Addie LaRue, Fantasía, 4, 5
El Visitante, Thriller, 4, 4
Mil Soles Espléndidos, Drama Histórico, 4, 5
Antes de Diciembre, Romance Juvenil, 2, 5
