CodigoASIN,PreguntasRespondidas,Moneda,EntregaEnvio,Dominio,Caracteristicas,CantidadImagenes,Valoracion,NumeroResenas,NombreVendedor,FechaRegistro,Titulo,EnlaceURL,CantidadVideos,Categorias
0007350813,0,USD,"[""FREE delivery Tuesday, December 28 if you spend $25 on items shipped by Amazon"",""Or fastest delivery Thursday, December 23. Order within 5 hrs 24 mins"",""Arrives before Christmas""]",www.amazon.com,[],4,4.6 out of 5 stars,13451,Amazon,2021-12-21T23:35:40.084Z,Wuthering Heights (Collins Classics),https://www.amazon.com/dp/0007350813,0,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
0007513763,0,USD,"[""FREE delivery Tuesday, December 28 if you spend $25 on items shipped by Amazon"",""Arrives after Christmas. Need a gift sooner? Send an Amazon Gift Card instantly by email or SMS."",""FREE delivery Wednesday, December 29 if you spend $25 on items shipped by Amazon"",""Arrives after Christmas. Need a gift sooner? Send an Amazon Gift Card instantly by email or SMS.""]",www.amazon.com,[],2,4.8 out of 5 stars,16628,VMG Books & Media,2021-12-21T23:23:16.450Z,THE DAYS THE CRAYONS QUIT,https://www.amazon.com/dp/0007513763,0,"[""Books"",""Children's Books"",""Literature & Fiction""]"
0008183988,0,USD,"[""FREE delivery January 4 - 10 if you spend $25 on items shipped by Amazon"",""Or fastest delivery December 29 - January 8"",""Arrives after Christmas. Need a gift sooner? Send an Amazon Gift Card instantly by email or SMS."",""FREE delivery January 13 - 31. "",""Arrives after Christmas. Need a gift sooner? Send an Amazon Gift Card instantly by email or SMS.""]",www.amazon.com,[],6,4.8 out of 5 stars,11275,Reuseaworld,2021-12-21T23:23:19.996Z,War Lord: Book 13 (The Last Kingdom Series),https://www.amazon.com/dp/0008183988,0,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
0008305838,0,USD,"[""FREE delivery Tuesday, December 28 if you spend $25 on items shipped by Amazon"",""Arrives after Christmas. Need a gift sooner? Send an Amazon Gift Card instantly by email or SMS."",""FREE delivery January 7 - 25. "",""Arrives after Christmas. Need a gift sooner? Send an Amazon Gift Card instantly by email or SMS.""]",www.amazon.com,[],4,4.8 out of 5 stars,15520,Bahamut Media,2021-12-21T23:23:17.540Z,Code Name Bananas: The hilarious and epic new children’s book from multi-million bestselling author David Walliams,https://www.amazon.com/dp/0008305838,0,"[""Books"",""Children's Books"",""Literature & Fiction""]"
0008375526,0,USD,"[""FREE delivery Tuesday, December 28"",""Or fastest delivery Thursday, December 23. Order within 6 hrs 24 mins"",""Arrives before Christmas"",""FREE delivery Thursday, December 30 if you spend $25 on items shipped by Amazon"",""Arrives after Christmas. Need a gift sooner? Send an Amazon Gift Card instantly by email or SMS.""]",www.amazon.com,[],7,4.8 out of 5 stars,10884,KathrynAshleyGallery,2021-12-21T23:35:39.675Z,Skincare: The award-winning ultimate no-nonsense guide and Sunday Times No. 1 best-seller,https://www.amazon.com/dp/0008375526,0,"[""Books"",""Crafts, Hobbies & Home"",""Home Improvement & Design""]"
0008387753,0,USD,"[""FREE delivery January 3 - 7. "",""Or fastest delivery December 29 - January 4. "",""Arrives after Christmas. Need a gift sooner? Send an Amazon Gift Card instantly by email or SMS.""]",www.amazon.com,[],1,4.8 out of 5 stars,20453,Basi6 InternationalBasi6 International,2021-12-21T23:23:19.408Z,The Hobbit & The Lord of the Rings Boxed Set,https://www.amazon.com/dp/0008387753,0,"[""Books"",""Literature & Fiction"",""Mythology & Folk Tales""]"
0008433941,0,USD,"[""$3.99 delivery January 12 - 24. "",""Arrives after Christmas. Need a gift sooner? Send an Amazon Gift Card instantly by email or SMS.""]",www.amazon.com,[],13,4.7 out of 5 stars,10261,tabletoparttabletopart,2021-12-21T23:23:19.359Z,The Silmarillion,https://www.amazon.com/dp/0008433941,0,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
0060244887,0,USD,"[""FREE delivery Tuesday, December 28"",""Arrives after Christmas. Need a gift sooner? Send an Amazon Gift Card instantly by email or SMS.""]",www.amazon.com,[],2,4.8 out of 5 stars,11222,Amazon,2021-12-21T23:35:37.401Z,The Chronicles of Narnia (Box Set),https://www.amazon.com/dp/0060244887,0,"[""Books"",""Children's Books"",""Literature & Fiction""]"
0060254920,0,USD,"[""FREE delivery Tuesday, December 28 if you spend $25 on items shipped by Amazon"",""Or fastest delivery Thursday, December 23. Order within 6 hrs 24 mins"",""Arrives before Christmas"",""FREE delivery January 6 - 8 if you spend $25 on items shipped by Amazon"",""Or fastest delivery January 4 - 5"",""Arrives after Christmas. Need a gift sooner? Send an Amazon Gift Card instantly by email or SMS.""]",www.amazon.com,[],6,4.9 out of 5 stars,27536,-OnTimeBooks-,2021-12-21T23:35:38.391Z,Where the Wild Things Are,https://www.amazon.com/dp/0060254920,0,"[""Books"",""Children's Books"",""Science Fiction & Fantasy""]"
0060256656,0,USD,"[""FREE delivery Tuesday, December 28 if you spend $25 on items shipped by Amazon"",""Or fastest delivery Friday, December 24. Order within 5 hrs 24 mins"",""Arrives before Christmas"",""FREE delivery Friday, December 31 if you spend $25 on items shipped by Amazon"",""Or fastest delivery December 24 - 28"",""May arrive after Christmas. Need a gift sooner? Send an Amazon Gift Card instantly by email or SMS.""]",www.amazon.com,[],3,4.9 out of 5 stars,23158,FindAnyBook,2021-12-21T23:35:54.850Z,The Giving Tree,https://www.amazon.com/dp/0060256656,0,"[""Books"",""Children's Books"",""Classics""]"
0060555661,0,USD,"[""FREE delivery Tuesday, December 28 if you spend $25 on items shipped by Amazon"",""Or fastest delivery Thursday, December 23. Order within 6 hrs 36 mins"",""Arrives before Christmas"",""$3.99 delivery January 3 - 6. "",""Arrives after Christmas. Need a gift sooner? Send an Amazon Gift Card instantly by email or SMS.""]",www.amazon.com,[],3,4.7 out of 5 stars,28414,Benjamins Bookshelf,2021-12-21T23:23:20.032Z,The Intelligent Investor Rev Ed.: The Definitive Book on Value Investing,https://www.amazon.com/dp/0060555661,0,"[""Books"",""Business & Money"",""Investing""]"
0062429078,0,USD,"[""FREE delivery Tuesday, December 28 if you spend $25 on items shipped by Amazon"",""Or fastest delivery Friday, December 24. Order within 6 hrs 36 mins"",""Arrives before Christmas""]",www.amazon.com,[],5,4.3 out of 5 stars,10050,Amazon,2021-12-21T23:23:16.487Z,Pretty Girls,https://www.amazon.com/dp/0062429078,0,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]"
0060652888,0,USD,"[""FREE delivery Tuesday, December 28 if you spend $25 on items shipped by Amazon"",""Or fastest delivery Thursday, December 23. Order within 6 hrs 36 mins"",""Arrives before Christmas"",""FREE delivery January 13 - 18 if you spend $25 on items shipped by Amazon"",""Or fastest delivery January 11 - 14"",""Arrives after Christmas. Need a gift sooner? Send an Amazon Gift Card instantly by email or SMS.""]",www.amazon.com,[],5,4.8 out of 5 stars,10958,Media Relay LLC,2021-12-21T23:23:14.947Z,Mere Christianity,https://www.amazon.com/dp/0060652888,0,"[""Books"",""Christian Books & Bibles"",""Christian Living""]"
0060652926,0,USD,"[""FREE delivery Tuesday, December 28 if you spend $25 on items shipped by Amazon"",""Or fastest delivery Friday, December 24. Order within 6 hrs 24 mins"",""Arrives before Christmas"",""FREE delivery January 17 - 26 if you spend $25 on items shipped by Amazon"",""Or fastest delivery January 11 - 15"",""Arrives after Christmas. Need a gift sooner? Send an Amazon Gift Card instantly by email or SMS.""]",www.amazon.com,[],4,4.8 out of 5 stars,10958,Vivé Liber Books LLC,2021-12-21T23:35:45.221Z,Mere Christianity,https://www.amazon.com/dp/0060652926,0,"[""Books"",""Christian Books & Bibles"",""Christian Living""]"
0062909711,0,USD,"[""FREE delivery January 18 - February 2. "",""Arrives after Christmas. Need a gift sooner? Send an Amazon Gift Card instantly by email or SMS.""]",www.amazon.com,[],1,4.4 out of 5 stars,12492,TheWorldShopUSATheWorldShopUSA,2021-12-21T23:23:26.705Z,"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain (The Plant Paradox, 1)",https://www.amazon.com/dp/0062909711,0,"[""Books"",""Health, Fitness & Dieting"",""Diets & Weight Loss""]"
0062439596,0,USD,"[""FREE delivery Tuesday, December 28 if you spend $25 on items shipped by Amazon"",""Arrives after Christmas. Need a gift sooner? Send an Amazon Gift Card instantly by email or SMS.""]",www.amazon.com,[],3,4.5 out of 5 stars,14801,Amazon,2021-12-21T23:23:27.407Z,The Hating Game: A Novel,https://www.amazon.com/dp/0062439596,0,"[""Books"",""Humor & Entertainment"",""Humor""]"
